title,slug,content,banner,views,createdAt,updatedAt,isDeleted,author,tag,comments,answer
Câu phát biểu nào sau đây về hiện tượng tán sắc là sai ?,cau-phat-bieu-nao-sau-djay-ve-hien-tuong-tan-sac-l,"[{""type"":""p"",""children"":[{""text"":""Câu 1: "",""bold"":true},{""text"":""Câu phát biểu nào sau đây về hiện tượng tán sắc là sai ?""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Hiện tượng tán sắc ánh sáng là do chiết suất của môi trường trong suốt khác nhau đối với các ánh sáng đơn sắc khác nhau có màu khác nhau.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Trong hiện tượng tán sắc của ánh sáng trắng qua lăng kính thì tia đỏ có góc lệch lớn nhất.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Trong hiện tượng tán sắc của ánh sáng trắng thì tia tím có góc lệch nhỏ nhất""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Ánh sáng đơn sắc không bị tán sắc khi qua lăng kính.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:33 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:33 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""A"",""bold"":true}]}]"
"Chiếu chùm tia sáng trắng hẹp song song từ không khí tới mặt bên AB của một lăng kính thủy tinh, chùm tia khúc xạ vào trong lăng kính (thuộc một tiết diện thẳng qua lăng kính) truyền tới mặt bên AC, nó khúc xạ tại mặt AC rồi ló ra ngoài không khí. Chùm tia ló bị lệch về phía đáy của lăng kính so với chùm tia tới và tách ra thành một dải nhiều màu khác nhau( như màu cầu vồng), tia tím bị lệch nhiều nhất, tia đỏ bị lệch ít nhất. Hiện tượng đó là :",chieu-chum-tia-sang-trang-hep-song-song-tu-khong-k,"[{""type"":""p"",""children"":[{""text"":""Câu 2: "",""bold"":true},{""text"":""Chiếu chùm tia sáng trắng hẹp song song từ không khí tới mặt bên AB của một lăng kính thủy tinh, chùm tia khúc xạ vào trong lăng kính (thuộc một tiết diện thẳng qua lăng kính) truyền tới mặt bên AC, nó khúc xạ tại mặt AC rồi ló ra ngoài không khí. Chùm tia ló bị lệch về phía đáy của lăng kính so với chùm tia tới và tách ra thành một dải nhiều màu khác nhau( như màu cầu vồng), tia tím bị lệch nhiều nhất, tia đỏ bị lệch ít nhất. Hiện tượng đó là :""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" sự tổng hợp ánh sáng""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" sự giao thoa ánh sáng""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" sự tán sắc ánh sáng""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" sự phản xạ ánh sáng""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:34 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:34 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""C"",""bold"":true}]}]"
Nguyên nhân sâu xa của hiện tượng tán sắc ánh sáng là sự phụ thuộc của chiết suất môi trường vào :,nguyen-nhan-sau-xa-cua-hien-tuong-tan-sac-anh-sang,"[{""type"":""p"",""children"":[{""text"":""Câu 3: "",""bold"":true},{""text"":""Nguyên nhân sâu xa của hiện tượng tán sắc ánh sáng là sự phụ thuộc của chiết suất môi trường vào :""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Màu sắc của môi trường""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Màu của ánh sáng.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Lăng kính mà ánh sáng đi qua.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Bước sóng của ánh sáng.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:35 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:35 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""D"",""bold"":true}]}]"
"Một chùm sáng trắng song song đi từ không khí vào thủy tinh, với góc tới lớn hơn không, sẽ",mot-chum-sang-trang-song-song-dji-tu-khong-khi-vao,"[{""type"":""p"",""children"":[{""text"":""Câu 4: "",""bold"":true},{""text"":""Một chùm sáng trắng song song đi từ không khí vào thủy tinh, với góc tới lớn hơn không, sẽ""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Chỉ có phản xạ""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Có khúc xạ, tán sắc và phản xạ""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Chỉ có khúc xạ""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Chỉ có tán sắc.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:36 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:36 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""B"",""bold"":true}]}]"
"Chùm tia ló ra khỏi lăng kính trong một máy quang phổ, trước khi đi qua thấu kính của buồng ảnh là:",chum-tia-lo-ra-khoi-lang-kinh-trong-mot-may-quang-,"[{""type"":""p"",""children"":[{""text"":""Câu 5: "",""bold"":true},{""text"":""Chùm tia ló ra khỏi lăng kính trong một máy quang phổ, trước khi đi qua thấu kính của buồng ảnh là:""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Một chùm phân kỳ màu trắng.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Một chùm phân kỳ nhiều màu.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Một tập hợp nhiều chùm tia song song, mỗi chùm có một màu.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Một chùm tia song song .""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:37 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:37 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""C"",""bold"":true}]}]"
Ánh sáng trắng là ánh sáng:,anh-sang-trang-la-anh-sang:-8hiu0,"[{""type"":""p"",""children"":[{""text"":""Câu 6: "",""bold"":true},{""text"":""Ánh sáng trắng là ánh sáng:""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Không bị tán sắc khi qua lăng kính.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Có một màu sắc xác định.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Có một bước sóng xác định.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Có thể tổng hợp từ bảy màu cơ bản.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:38 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:38 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""D"",""bold"":true}]}]"
Ánh sáng trắng là :,anh-sang-trang-la-:-1r13s,"[{""type"":""p"",""children"":[{""text"":""Câu 7: "",""bold"":true},{""text"":""Ánh sáng trắng là :""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Tập hợp của vô số các ánh sáng đơn sắc khác nhau có màu biến thiên liên tục từ đỏ đến tím.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Tập hợp nhiều loại ánh sáng đơn sắc khác nhau.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Là một loại ánh sáng đơn sắc.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Là tập hợp của bảy màu đơn sắc khác nhau.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:39 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:39 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""A"",""bold"":true}]}]"
Phát biểu nào dưới đây là sai khi nói về ánh sáng trắng và ánh sáng đơn sắc:,phat-bieu-nao-duoi-djay-la-sai-khi-noi-ve-anh-sang,"[{""type"":""p"",""children"":[{""text"":""Câu 8: "",""bold"":true},{""text"":""Phát biểu nào dưới đây là sai khi nói về ánh sáng trắng và ánh sáng đơn sắc:""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Chiết suất của lăng kính đối với ánh sáng đơn sắc khác nhau có trị số như nhau""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Ánh sáng trắng là tập hợp của vô số ánh sáng đơn sắc khác nhau có màu biến thiên liên tục từ đỏ đến tím.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Ánh sáng đơn sắc là ánh sáng mà không bị lăng kính làm tán sắc.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Chiết suất của môi trường trong suốt có giá trị lớn nhất đối với ánh sáng màu tím, nhỏ nhất với ánh sáng màu đỏ.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:40 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:40 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""A"",""bold"":true}]}]"
Ánh sáng đơn sắc là ánh sáng:,anh-sang-djon-sac-la-anh-sang:-voz5m,"[{""type"":""p"",""children"":[{""text"":""Câu 9: "",""bold"":true},{""text"":""Ánh sáng đơn sắc là ánh sáng:""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Có một bước sóng xác định tương ứng với một màu sắc xác định.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Bị tán sắc khi đi qua lăng kính.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Bị tách thành một dãy màu khi chiếu từ không khí vào thủy tinh.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Có vận tốc không thay đổi khi truyền từ môi trường này sang môi trường khác.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:41 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:41 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""A"",""bold"":true}]}]"
Khi chiếu ánh sáng trắng vào một lăng kính thì tia sáng nào bị lệch về phía đáy nhiều nhất ?,khi-chieu-anh-sang-trang-vao-mot-lang-kinh-thi-tia,"[{""type"":""p"",""children"":[{""text"":""Câu 10: "",""bold"":true},{""text"":""Khi chiếu ánh sáng trắng vào một lăng kính thì tia sáng nào bị lệch về phía đáy nhiều nhất ?""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" A."",""bold"":true},{""text"":"" Tia vàng""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" B."",""bold"":true},{""text"":"" Tia xanh.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" C."",""bold"":true},{""text"":"" Tia tím.""}]},{""type"":""p"",""children"":[{""text"":"" ""},{""text"":"" D."",""bold"":true},{""text"":"" Tia lam.""}]}]",https://cossin.vn/api/v1/files/logo.png,0,Tue Jun 04 2024 16:28:42 GMT+0700 (Indochina Time),Tue Jun 04 2024 16:28:42 GMT+0700 (Indochina Time),false,661e4b907c47c5cdf91fcdcb,66530786fd861a8671cc5b11,[],"[{""children"":[{""text"":"" Đáp án : ""}]},{""children"":[{""text"":""C"",""bold"":true}]}]"
